language;endonym;description;world_region;country;global_speakers;primary_location;add_neighborhoods;latitude;longitude;size;status;glottocode;lg_family;iso_639_3
Croatian;Hrvatski;Croatians were historically concentrated on the far west side of Manhattan in Hell's Kitchen (near the Sts. Cyril & Methodius Croatian Roman Catholic Church) and later in Astoria, where there are numerous clubs, restaurants, and Croatian-language services at the Church of the Most Precious Blood. Many Croatians in the area, especially those who arrived immediately after the Second World War, were Istrians who considered themselves Italian and spoke Croatian as a second or third language. The Cardinal Stepinac Croatian Cultural Club is a gathering place for New Jersey Croatians.;Southern Europe;Croatia, Slovenia;6741420;Astoria;;4.075.475.000;-7.391.681.900;Medium;Residential;croa1245;Indo-European;hrv
Croatian;Hrvatski;Croatians were historically concentrated on the far west side of Manhattan in Hell's Kitchen (near the Sts. Cyril & Methodius Croatian Roman Catholic Church) and later in Astoria, where there are numerous clubs, restaurants, and Croatian-language services at the Church of the Most Precious Blood. Many Croatians in the area, especially those who arrived immediately after the Second World War, were Istrians who considered themselves Italian and spoke Croatian as a second or third language. The Cardinal Stepinac Croatian Cultural Club is a gathering place for New Jersey Croatians.;Southern Europe;Croatia, Slovenia;6741420;Boonton (NJ);;4.091.254.111;-7.441.046.027;Small;Community;croa1245;Indo-European;hrv
Croatian;Hrvatski;Croatians were historically concentrated on the far west side of Manhattan in Hell's Kitchen (near the Sts. Cyril & Methodius Croatian Roman Catholic Church) and later in Astoria, where there are numerous clubs, restaurants, and Croatian-language services at the Church of the Most Precious Blood. Many Croatians in the area, especially those who arrived immediately after the Second World War, were Istrians who considered themselves Italian and spoke Croatian as a second or third language. The Cardinal Stepinac Croatian Cultural Club is a gathering place for New Jersey Croatians.;Southern Europe;Croatia, Slovenia;6741420;Hell's Kitchen;Chelsea;4.075.906.200;-7.399.644.700;Small;Community;croa1245;Indo-European;hrv
Cuban Spanish;Español Cubano;"In the late 19th century, a significant community Cuban political refugees and cigar makers formed, with many working in lower Manhattan. Most famous among them was the writer and revolutionary José Martí, who helped forge a modern Cuba from his exile base in the city. Cubans continued to arrive after the Spanish-American War of 1898 made the island a US territory, and yet another wave after the Cuban revolution, now settling in parts of the Bronx, Queens (home to the long-time restaurant Rincon Criollo), and elsewhere. Union City and West New York, across the river in New Jersey, have since become ""Havana on the Hudson"", home to one of the largest and most organized Cuban-American communities outside Florida.";Caribbean;Cuba;11340000;Corona;;4.074.885.000;-7.386.906.600;Medium;Residential;;Indo-European;spa
Cuban Spanish;Español Cubano;"In the late 19th century, a significant community Cuban political refugees and cigar makers formed, with many working in lower Manhattan. Most famous among them was the writer and revolutionary José Martí, who helped forge a modern Cuba from his exile base in the city. Cubans continued to arrive after the Spanish-American War of 1898 made the island a US territory, and yet another wave after the Cuban revolution, now settling in parts of the Bronx, Queens (home to the long-time restaurant Rincon Criollo), and elsewhere. Union City and West New York, across the river in New Jersey, have since become ""Havana on the Hudson"", home to one of the largest and most organized Cuban-American communities outside Florida.";Caribbean;Cuba;11340000;Financial District;Washington Heights;4.070.699.800;-7.400.656.200;Medium;Historical;;Indo-European;spa
Cuban Spanish;Español Cubano;"In the late 19th century, a significant community Cuban political refugees and cigar makers formed, with many working in lower Manhattan. Most famous among them was the writer and revolutionary José Martí, who helped forge a modern Cuba from his exile base in the city. Cubans continued to arrive after the Spanish-American War of 1898 made the island a US territory, and yet another wave after the Cuban revolution, now settling in parts of the Bronx, Queens (home to the long-time restaurant Rincon Criollo), and elsewhere. Union City and West New York, across the river in New Jersey, have since become ""Havana on the Hudson"", home to one of the largest and most organized Cuban-American communities outside Florida.";Caribbean;Cuba;11340000;Union City (NJ);;4.077.570.100;-7.402.087.500;Large;Residential;;Indo-European;spa
Cuicatec;Dbaku;ELA collaborator Gloria (Tadii) Angeles, based in Clifton, New Jersey, has been working to reclaim and revive her ancestral Indigenous language, today highly endangered. She estimates that some 35 Cuicatec people may be scattered around New Jersey, including in the Oaxacan community in New Brunswick.;Central America;Mexico;8680;Clifton (NJ);;4.087.471.800;-7.412.316.000;Smallest;Reviving;cuic1234;Otomanguean;cux
Cypriot Greek;Κυπριακά;Astoria is often cited as the largest and most diverse Greek community outside of Greece, with a tremendous range of cultural, political, religious and other institutions. Astoria became pre-eminent beginning in the 1960s, with significant communities of Pontic Greeks, Cretans, and Cypriots (all speaking distinctive varieties of Greek) as well as a galaxy of organizations based on people's islands or towns of origin—from the Amorgos Society (from the island of Amorgos in the Cyclades) to the Thessalonikian Society (for those from that major city in the north of Greece). In recent decades, significant Greek-speaking communities have also taken root across eastern Queens in neighborhoods such as Auburndale and Bayside, among others, with churches, schools, restaurants, and other institutions to match. Others have moved even further east to Nassau and Suffolk counties.;Southern Europe;Cyprus, Greece;700000;Astoria;;4.077.045.100;-7.392.042.800;Medium;Residential;cypr1249;Indo-European;
Czech;Čeština;"A significant Czech community first formed within the German world of Kleindeutschland (Little Germany), with ""Czech Broadway"" along Avenue A between 1st and 8th Streets springing up in the late 19th century. Most Czechs later moved uptown, in tandem with German New Yorkers and other Central Europeans, with a distinctly Czech quarter forming in the 60s and 70s on the East Side, the most enduring landmark of which is the recently renovated Bohemian National Hall. Much of the community later moved to Astoria, where in 1911 the Bohemian Citizens’ Benevolent Society established the Bohemian Hall & Beer Garden, a famous gathering place in recent years open to all New Yorkers and since 2000 a Traditional Cultural Property on the National Register of Historic Places.";Eastern Europe;Czech Republic, Slovakia;13386850;Astoria;;4.077.269.200;-7.391.575.200;Small;Residential;czec1258;Indo-European;ces
Czech;Čeština;"A significant Czech community first formed within the German world of Kleindeutschland (Little Germany), with ""Czech Broadway"" along Avenue A between 1st and 8th Streets springing up in the late 19th century. Most Czechs later moved uptown, in tandem with German New Yorkers and other Central Europeans, with a distinctly Czech quarter forming in the 60s and 70s on the East Side, the most enduring landmark of which is the recently renovated Bohemian National Hall. Much of the community later moved to Astoria, where in 1911 the Bohemian Citizens’ Benevolent Society established the Bohemian Hall & Beer Garden, a famous gathering place in recent years open to all New Yorkers and since 2000 a Traditional Cultural Property on the National Register of Historic Places.";Eastern Europe;Czech Republic, Slovakia;13386850;Lenox Hill;East Village;4.076.897.800;-7.395.643.300;Small;Residential;czec1258;Indo-European;ces
Dagaare;Dagaare;"New York is home to a large and growing Ghanaian community centered on ""Little Accra"" in the Bronx stretching from the Grand Concourse up to Tracey Towers, with Ghanaian English and Twi serving as widely-known lingua francas. Ashanti, Akuapem (Twi), and Fante are all considered mutually intelligible varieties of Akan. Ghanaian New Yorkers from Accra, or who spent significant time in Accra, may be Ga speakers, and in the Bronx community there are also speakers of smaller languages such as Dagaare and Dagbani. The first wave of Ghanaians came to the city after the coup in 1966, with some working with the Black Star Line (Ghana Shipping Company) as seamen, and a large number arriving starting in the 1980s. There are now smaller communities in Brooklyn, Queens, Staten Island, New Jersey, and Westchester. Those from northern Ghana may be part of the Yankasa Association, based in the Bronx. Records indicate that many of the enslaved Africans brought to New York in the 17th and 18th centuries may have been speakers of Akan varieties.";Western Africa;Ghana;1100000;Claremont;;4.084.317.300;-7.390.931.000;Smallest;Residential;sout2789;Atlantic-Congo;
